Student_ID,Locality,Distance_km,Travel_Time_min
1,"Mariam Nagar (Near Campus)",2,10
2,"Raj Nagar, Ghaziabad",3,14
3,"Kavi Nagar, Ghaziabad",4,18
4,"Shastri Nagar, Ghaziabad",5,20
5,"Patel Nagar, Ghaziabad",5,22
6,"Raj Nagar Extension",6,25
7,"Old Bus Stand, Ghaziabad",7,28
8,"Vijay Nagar, Ghaziabad",8,32
9,"Mohan Nagar, Ghaziabad",9,35
10,"Vasundhara, Ghaziabad",10,39
11,"Sahibabad, Ghaziabad",11,42
12,"Vaishali, Ghaziabad",12,46
13,"Indirapuram, Ghaziabad",13,49
14,"Crossings Republik",14,53
15,"Kaushambi, Ghaziabad",15,56
16,"Noida Sector 62",16,60
17,"Anand Vihar, East Delhi",17,63
18,"Dilshad Garden, Delhi",18,67
19,"Noida Sector 51",19,70
20,"Mayur Vihar Phase 3, Delhi",20,75
